K,HR@K,NDCG@K
1,0.1622,0.1622
1,0.1686,0.1686
1,0.1707,0.1707
1,0.1665,0.1665
1,0.1771,0.1771
1,0.1782,0.1782
1,0.1697,0.1697
1,0.1803,0.1803
1,0.1718,0.1718
1,0.1792,0.1792
2,0.2757,0.237
2,0.2683,0.2299
2,0.2747,0.2402
2,0.2789,0.2386
2,0.281,0.2446
2,0.28,0.2377
2,0.2768,0.2384
2,0.2757,0.2385
2,0.2757,0.2378
2,0.281,0.2442
3,0.3404,0.265
3,0.3637,0.2737
3,0.3733,0.2898
3,0.3489,0.2692
3,0.3478,0.2685
3,0.3574,0.2785
3,0.3712,0.2923
3,0.3637,0.2792
3,0.3669,0.2905
3,0.3574,0.2799
4,0.4327,0.3092
4,0.4305,0.3117
4,0.4327,0.3091
4,0.4231,0.3013
4,0.4358,0.3119
4,0.4284,0.3114
4,0.4178,0.3038
4,0.4274,0.3087
4,0.4295,0.313
4,0.4274,0.3037
5,0.4814,0.3188
5,0.4857,0.3306
5,0.4804,0.3283
5,0.4952,0.3392
5,0.4878,0.3234
5,0.4899,0.3338
5,0.4899,0.338
5,0.4878,0.324
5,0.4814,0.3237
5,0.4846,0.3242
6,0.5387,0.3431
6,0.544,0.3449
6,0.5313,0.3427
6,0.5429,0.3461
6,0.5376,0.3483
6,0.5398,0.3467
6,0.5334,0.3462
6,0.5302,0.3383
6,0.5345,0.3456
6,0.5355,0.3465
7,0.5769,0.354
7,0.5652,0.3564
7,0.5896,0.3709
7,0.5748,0.3524
7,0.5854,0.3538
7,0.5885,0.3686
7,0.5832,0.3594
7,0.5716,0.361
7,0.5716,0.3508
7,0.5748,0.3572
8,0.6055,0.3712
8,0.6151,0.3787
8,0.6087,0.3659
8,0.6087,0.3609
8,0.5907,0.3591
8,0.597,0.3556
8,0.6119,0.3623
8,0.614,0.3727
8,0.6161,0.3731
8,0.6119,0.3711
9,0.6426,0.3829
9,0.6384,0.3813
9,0.6426,0.378
9,0.6511,0.384
9,0.6384,0.3814
9,0.6437,0.3824
9,0.6543,0.3874
9,0.632,0.3712
9,0.6416,0.3785
9,0.6405,0.3819
10,0.6787,0.3859
10,0.6702,0.3893
10,0.6681,0.3858
10,0.6649,0.3822
10,0.667,0.3879
10,0.6744,0.3903
10,0.6723,0.3828
10,0.6829,0.3919
10,0.6575,0.3868
10,0.6776,0.3891
