epoch,HR_mean,HR_std,NDCG_mean,NDCG_std,Loss_mean,Loss_std
0,0.10412999999999999,0.005627324211184014,0.04758,0.0037030918013045383,,
1,0.40976,0.018335042344586435,0.22653000000000004,0.010790638947202757,0.4532299999999999,0.0021442688471572007
2,0.51589,0.0202534743247232,0.29356,0.009726390217684393,0.32294,0.009231612354657593
3,0.55323,0.009938706600402736,0.31411,0.004994763925018535,0.29514,0.006748201406465436
4,0.579,0.011984712484383295,0.3262,0.0061901355217618545,0.28086,0.0052232812165023765
5,0.60466,0.009833073442893294,0.3406600000000001,0.0059742410024668,0.26874000000000003,0.005000044444246921
6,0.621,0.009352005132590543,0.3524,0.005487764167268445,0.25819000000000003,0.0042532210016514435
7,0.63127,0.006119921931237659,0.35905,0.004960790707583261,0.24910000000000002,0.0035665109000254103
8,0.63776,0.005422627489408511,0.36497,0.0033750884762065426,0.24153999999999995,0.0023448288257828637
9,0.6433699999999999,0.007347115836238797,0.37112,0.005268944655030805,0.23529999999999998,0.0017365355036841413
10,0.65027,0.00773865477830462,0.37465,0.005937872795314279,0.22970000000000002,0.001471960144387976
11,0.65113,0.007714063635839283,0.37797000000000003,0.004304274361350346,0.22565,0.0014447221955179628
12,0.65388,0.006335753923391939,0.38037,0.004767727154758546,0.22152999999999995,0.0013776388818877337
13,0.6555799999999999,0.008009966014631723,0.38149999999999995,0.006563027756556664,0.21878000000000003,0.0013138577633146611
14,0.65527,0.008848860566950589,0.38283,0.0067199619707918766,0.21606999999999998,0.001159549721036374
15,0.6576899999999999,0.0020962665224950223,0.38244,0.0037550558510419624,0.21431,0.0011406138698087077
16,0.6600300000000001,0.008147535414671928,0.38405,0.00651105896831605,0.21273999999999998,0.0012553883861180116
17,0.65758,0.011626387611329985,0.3833,0.007620731956679458,0.21099,0.0010587728746053167
18,0.65864,0.00905528697624887,0.38543000000000005,0.005217076661204905,0.20998,0.0007685484153042396
19,0.6578999999999999,0.012621762511190281,0.38522,0.007276720873213883,0.20870000000000002,0.0008730533902472563
20,0.6610900000000001,0.007550930774120228,0.38585,0.004552471856036002,0.20800000000000002,0.0008705043238133748
21,0.66161,0.006395736427061758,0.38636000000000004,0.0069349677560733855,0.20722000000000002,0.0008978987817244366
22,0.6596,0.00510098029794274,0.38587,0.004855020311205935,0.20624000000000003,0.0007471427053931658
23,0.66236,0.007382140610961039,0.38647,0.005573757958305822,0.20556999999999997,0.0012347289401142126
24,0.66001,0.005355257022569299,0.38608,0.004924722214388232,0.20526000000000005,0.0007890923055426853
25,0.65981,0.006698664875265147,0.38824000000000003,0.0050767881359948235,0.20465,0.000952482137481966
26,0.6586399999999999,0.00921185226880148,0.387,0.005236198790895722,0.20407000000000003,0.0005478239782184596
27,0.6564300000000001,0.009354149406071677,0.38617,0.006251230989884211,0.20365000000000003,0.0007905694150420827
28,0.6589599999999999,0.009813392209968321,0.38743,0.0070919437862032335,0.20335,0.0007367345368433419
29,0.65685,0.007355307985091833,0.38575,0.005889208586709918,0.20281000000000002,0.00104184665111735
30,0.6585400000000001,0.00922330381876979,0.38699000000000006,0.007630559903732128,0.20232,0.0009199033765685486
31,0.6572800000000001,0.007886387709915758,0.38681,0.006104724946028819,0.20204999999999998,0.000994708220758448
32,0.6561,0.0055721529850578195,0.38691,0.005666950973260084,0.20148000000000002,0.0008038794823990835
33,0.6530400000000001,0.006543563419286333,0.38522999999999996,0.007028679344893554,0.20131000000000002,0.0008332666639997877
34,0.6564300000000001,0.00820989240692797,0.38586,0.006084990641826076,0.20101,0.0009982762921934786
35,0.6557899999999999,0.00605630066771604,0.38551,0.004022561373055713,0.20087000000000002,0.0006056218108504412
36,0.6593899999999999,0.008496332542142321,0.38774000000000003,0.004441271089326684,0.20053,0.0008920014947670662
37,0.6576800000000002,0.007036855358278527,0.38778,0.005057623508680296,0.20034999999999997,0.0008436033823229159
38,0.65653,0.006752620890357215,0.38752000000000003,0.004860224046047453,0.19999,0.0006314885412877867
39,0.65662,0.008362455779653881,0.38631,0.005938471557938492,0.19973000000000002,0.0009202052911050767
40,0.65949,0.006422607639338476,0.38821000000000006,0.004159447078639181,0.1996,0.0010044346115546333
41,0.65567,0.00611410936550314,0.38653,0.004410857815285665,0.19952,0.0008202980488145153
42,0.65588,0.007094567561796064,0.38520000000000004,0.003928528138289632,0.19895999999999997,0.0010373041983912014
43,0.6554599999999999,0.006632445501723548,0.38522,0.0036465508817694137,0.19898,0.0007465476095557128
44,0.65527,0.006972652930476924,0.38412,0.005041780990439355,0.19899,0.0008451824260674957
45,0.6510100000000001,0.008354300289870645,0.38397000000000003,0.005196376942960669,0.19864999999999997,0.0007137537701787779
46,0.65143,0.007032946276869533,0.3841,0.006132065086267623,0.19836,0.0006131883886702375
47,0.6525000000000001,0.0077275840697824585,0.38496,0.004538281613121859,0.19856999999999997,0.0006992853494818856
48,0.65282,0.008285435682234488,0.38483,0.004698474929875295,0.19802999999999998,0.0007242620765686667
49,0.6530300000000001,0.005191028585721492,0.38681,0.00305812215438023,0.19800999999999996,0.000765143414298543
50,0.64995,0.00717050284925059,0.38429,0.0050803433829701775,0.19773000000000002,0.0008857514073122078
